,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
280,2012-10-18 03:15,1.31074,1.31085,1.31011,1.31016,530,-0.000442,0.013962,1.310705,1.310615,1.310637,1.310518,1.310813,1.310896,1.310725,1.31067,1.311686,1.311216,1.311258,1.310381,1.311242,1.310391,1.311525,1.311227,-0.000288,-136.835527,6.535948,31.589404,-0.028996,-0.022006,-0.954279,1.312467,1.309192,1.310829
281,2012-10-18 03:30,1.31016,1.31044,1.30937,1.30945,1051,-0.000542,0.010181,1.310497,1.310282,1.310279,1.309802,1.31074,1.310759,1.310595,1.310523,1.311636,1.311146,1.31117,1.310325,1.311239,1.310372,1.311489,1.311137,-0.000369,-199.980889,3.738318,22.091148,-0.080122,-0.028154,-0.940814,1.3124,1.309125,1.310763
282,2012-10-18 03:45,1.30942,1.30954,1.30885,1.30886,1056,-0.000428,0.006534,1.310158,1.309876,1.309811,1.308999,1.310622,1.310578,1.310416,1.310228,1.311563,1.311057,1.311061,1.310228,1.311237,1.310342,1.311442,1.311032,-0.000475,-206.654648,0.37594,17.147524,-0.126667,-0.036243,-0.937211,1.312297,1.309023,1.31066
283,2012-10-18 04:00,1.30886,1.30934,1.30884,1.30896,1228,7.6e-05,0.004072,1.309865,1.309614,1.309469,1.308611,1.310514,1.310424,1.310258,1.309875,1.311468,1.310975,1.310959,1.310105,1.311234,1.310315,1.311397,1.310916,-0.000545,-158.544323,4.494382,20.621493,-0.138849,-0.04156,-0.939044,1.312195,1.30892,1.310558
284,2012-10-18 04:15,1.30893,1.30942,1.30879,1.30942,718,0.000374,0.008774,1.309598,1.309559,1.309341,1.308853,1.31044,1.310328,1.310154,1.309573,1.311393,1.310914,1.310879,1.309975,1.311232,1.310297,1.311361,1.310795,-0.000556,-115.725129,23.161765,35.071324,-0.085461,-0.042453,-0.94521,1.312106,1.308831,1.310468
285,2012-10-18 04:30,1.30941,1.30982,1.30934,1.30968,644,0.000206,0.007453,1.309422,1.309593,1.309365,1.30939,1.310375,1.310266,1.310082,1.30937,1.311334,1.310865,1.310812,1.309853,1.311235,1.310285,1.31133,1.310674,-0.000538,-66.743454,32.720588,41.96163,-0.077821,-0.041086,-0.957753,1.312039,1.308764,1.310401
286,2012-10-18 04:45,1.30967,1.30978,1.30941,1.30977,607,7.6e-05,0.006096,1.309357,1.309644,1.309464,1.309793,1.310304,1.310219,1.310024,1.309265,1.311281,1.310822,1.31075,1.309746,1.31124,1.310275,1.311301,1.310555,-0.000511,-57.138031,36.029412,44.321596,-0.070954,-0.038998,-0.977198,1.311965,1.30869,1.310327
287,2012-10-18 05:00,1.30975,1.30975,1.30899,1.30925,982,-0.000382,0.007739,1.309323,1.309531,1.309434,1.30967,1.310195,1.310127,1.309924,1.309173,1.311214,1.310761,1.310671,1.309642,1.311243,1.310254,1.311262,1.310435,-0.000525,-81.362419,16.911765,34.86921,-0.125106,-0.040086,-1.01046,1.311864,1.30859,1.310227
288,2012-10-18 05:15,1.30924,1.30978,1.30923,1.30959,1129,0.000267,0.004872,1.309445,1.309548,1.30951,1.309521,1.31014,1.310076,1.309866,1.309125,1.311169,1.310715,1.310607,1.309554,1.311253,1.310241,1.311229,1.310319,-0.000503,-55.596466,29.411765,43.896179,-0.086212,-0.03841,-1.054358,1.311796,1.308521,1.310158
289,2012-10-18 05:30,1.30965,1.31139,1.30957,1.31053,1723,0.000672,0.010563,1.309707,1.309829,1.30982,1.309959,1.310139,1.310119,1.309903,1.309221,1.311123,1.310707,1.310582,1.309508,1.31127,1.310247,1.311215,1.310217,-0.000405,36.462795,66.923077,61.096626,-0.037375,-0.030935,-1.095578,1.311797,1.308522,1.31016
290,2012-10-18 05:45,1.31053,1.31103,1.31033,1.3107,996,0.00013,0.007028,1.30992,1.310078,1.310104,1.310604,1.310149,1.310174,1.309957,1.309445,1.311087,1.310707,1.310565,1.3095,1.311288,1.310256,1.311204,1.310132,-0.00031,49.618736,73.461538,63.435849,-0.003052,-0.023691,-1.122682,1.311807,1.308532,1.310169
291,2012-10-18 06:00,1.31072,1.31104,1.31034,1.31099,1010,0.000206,0.006931,1.310138,1.310338,1.31041,1.311087,1.310172,1.310252,1.310037,1.309781,1.311066,1.310718,1.310561,1.309528,1.311307,1.31027,1.311198,1.310066,-0.000209,53.129068,84.615385,67.305376,0.063351,-0.01598,-1.122377,1.311826,1.308551,1.310189
292,2012-10-18 06:15,1.31099,1.31163,1.31072,1.31141,1491,0.00032,0.006103,1.310412,1.310644,1.310773,1.311428,1.310204,1.310362,1.310155,1.310199,1.31105,1.310745,1.310575,1.309598,1.311326,1.310293,1.3112,1.310021,-9.4e-05,84.596731,92.253521,72.218495,0.149681,-0.0072,-1.096361,1.311855,1.30858,1.310218
293,2012-10-18 06:30,1.31141,1.31193,1.31112,1.31138,1956,-2.3e-05,0.004141,1.310767,1.310855,1.31105,1.311577,1.310246,1.310459,1.310267,1.310613,1.311028,1.31077,1.310588,1.309701,1.311346,1.310315,1.311201,1.309994,-6e-06,89.47703,82.484076,71.335001,0.192534,-0.000422,-1.049133,1.311893,1.308618,1.310256
294,2012-10-18 06:45,1.31138,1.31182,1.3105,1.3106,1834,-0.000595,0.007197,1.310935,1.310782,1.311002,1.311192,1.310241,1.310473,1.3103,1.310898,1.310993,1.310764,1.310571,1.309804,1.311362,1.31032,1.311186,1.309974,2e-06,40.820551,57.643312,52.183284,0.12529,0.000145,-0.987234,1.311908,1.308633,1.31027
295,2012-10-18 07:00,1.31061,1.31102,1.31012,1.31042,2781,-0.000145,0.003236,1.310917,1.310678,1.310855,1.310613,1.310227,1.310468,1.310317,1.311045,1.310951,1.31075,1.310549,1.309897,1.31138,1.310322,1.311168,1.309957,-7e-06,1.880275,51.910828,48.701714,0.07637,-0.000508,-0.910813,1.311886,1.308611,1.310249
296,2012-10-18 07:15,1.31042,1.31049,1.30822,1.30886,4300,-0.00119,0.005279,1.31061,1.310159,1.310267,1.309524,1.310126,1.310315,1.310187,1.310917,1.310878,1.310676,1.310467,1.309931,1.311369,1.310293,1.311118,1.309926,-0.000138,-100.271537,17.250674,29.212013,-0.062611,-0.010511,-0.826495,1.311804,1.308529,1.310166
297,2012-10-18 07:30,1.30888,1.30928,1.30835,1.30923,3433,0.000267,0.002709,1.310317,1.309894,1.309873,1.308849,1.310051,1.310211,1.310102,1.310656,1.310806,1.310619,1.310402,1.309925,1.311351,1.310272,1.311075,1.309886,-0.000209,-104.436791,27.22372,36.199341,-0.041229,-0.015977,-0.730742,1.311716,1.308441,1.310078
298,2012-10-18 07:45,1.30926,1.30961,1.30878,1.30905,2904,-0.00016,0.002858,1.309923,1.309653,1.309511,1.308676,1.309952,1.310101,1.310007,1.310312,1.310734,1.310558,1.310333,1.309883,1.311335,1.310248,1.31103,1.309835,-0.000277,-79.948506,22.371968,34.298917,-0.015276,-0.021174,-0.636828,1.31163,1.308355,1.309993
